Sample,Folder Name,Wasabi,Batch,Organ,State,Tissue type,Slide ID,Run location,Assay,Panel,#,Slide prepared,Run start date,H&E image (.svs),H&E same-slide (.svs),#HE,Fiducial Concentration (%),Pre-hybridization storage time,Hybridization Duration (h.min),Optional pre-run ON at 4°C,Pre-bleaching profile,Cell segmentation profile,Slide preparation manual,Instrument user manual,Instrument software
37,SAHA_XR_PANC_A1_SJJP02_05,,SJJP02,Pancreas,Normal,PANC,PANC_A1,St.Jude,Xenium,Multi-tissue (377-plex),19,02/22/2024,03/07/2024,SAHA_HE_PANC_A1_EC02,SAHA_HEXR_PANC_A1_SJ02,N/A,,,,,,,,,
38,SAHA_XR_PANC_A1_SJJP02_06,,SJJP02,Pancreas,Normal,PANC,PANC_A1,St.Jude,Xenium,Multi-tissue (377-plex),19,02/22/2024,03/07/2024,SAHA_HE_PANC_A1_EC02,SAHA_HEXR_PANC_A1_SJ02,N/A,,,,,,,,,
39,SAHA_XR_PANC_A1_SJJP02_07,,SJJP02,Pancreas,Normal,PANC,PANC_A1,St.Jude,Xenium,Multi-tissue (377-plex),19,02/22/2024,03/07/2024,SAHA_HE_PANC_A1_EC02,SAHA_HEXR_PANC_A1_SJ02,N/A,,,,,,,,,
40,SAHA_XR_PANC_A1_SJJP02_08,,SJJP02,Pancreas,Normal,PANC,PANC_A1,St.Jude,Xenium,Multi-tissue (377-plex),19,02/22/2024,03/07/2024,SAHA_HE_PANC_A1_EC02,SAHA_HEXR_PANC_A1_SJ02,N/A,,,,,,,,,
41,SAHA_XR_APE_A9_MS01_01,Y,MS01,Appendix,Normal,APE,APE_A9,MSK-SAIL,Xenium,Multi-tissue (377-plex),17,02/22/2024,03/06/2024,SAHA_HE_APE_A9_SJ01,SAHA_HEXR_APE_A9_MS01,N/A,,,,,,,,,
42,SAHA_XR_APE_A9_MS01_02,Y,MS01,Appendix,Normal,APE,APE_A9,MSK-SAIL,Xenium,Multi-tissue (377-plex),17,02/22/2024,03/06/2024,SAHA_HE_APE_A9_SJ01,SAHA_HEXR_APE_A9_MS01,N/A,,,,,,,,,
43,SAHA_XR_APE_A9_MS01_03,Y,MS01,Appendix,Normal,APE,APE_A9,MSK-SAIL,Xenium,Multi-tissue (377-plex),17,02/22/2024,03/06/2024,SAHA_HE_APE_A9_SJ01,SAHA_HEXR_APE_A9_MS01,N/A,,,,,,,,,
44,SAHA_XR_APE_A9_MS01_04,Y,MS01,Appendix,Normal,APE,APE_A9,MSK-SAIL,Xenium,Multi-tissue (377-plex),17,02/22/2024,03/06/2024,SAHA_HE_APE_A9_SJ01,SAHA_HEXR_APE_A9_MS01,N/A,,,,,,,,,
45,SAHA_XR_ILE_A1_MS01_01,Y,MS01,Ileum,Normal,ILE,ILE_A1,MSK-SAIL,Xenium,Multi-tissue (377-plex),17,02/22/2024,03/06/2024,SAHA_HE_ILE_A1_SJ01,SAHA_HEXR_ILE_A1_MS01,N/A,,,,,,,,,
46,SAHA_XR_ILE_A1_MS01_02,Y,MS01,Ileum,Normal,ILE,ILE_A1,MSK-SAIL,Xenium,Multi-tissue (377-plex),17,02/22/2024,03/06/2024,SAHA_HE_ILE_A1_SJ01,SAHA_HEXR_ILE_A1_MS01,N/A,,,,,,,,,
47,SAHA_XR_ILE_A1_MS01_03,Y,MS01,Ileum,Normal,ILE,ILE_A1,MSK-SAIL,Xenium,Multi-tissue (377-plex),17,02/22/2024,03/06/2024,SAHA_HE_ILE_A1_SJ01,SAHA_HEXR_ILE_A1_MS01,N/A,,,,,,,,,
48,SAHA_XR_ILE_A1_MS01_04,Y,MS01,Ileum,Normal,ILE,ILE_A1,MSK-SAIL,Xenium,Multi-tissue (377-plex),17,02/22/2024,03/06/2024,SAHA_HE_ILE_A1_SJ01,SAHA_HEXR_ILE_A1_MS01,N/A,,,,,,,,,
49,SAHA_XR_PANC_A1_MS01,Y,MS01,Pancreas,Normal,PANC,PANC_A1,MSK-SAIL,Xenium,Multi-tissue (377-plex),20,02/22/2024,03/06/2024,SAHA_HE_PANC_A1_EC02,SAHA_HEXR_PANC_A1_MS01,N/A,,,,,,,,,
51,SAHA_CR_STO_A1_EC03,Y,EC03,Stomach,Normal,STO,STO_A1,WCM,CosMx RNA,UCC 1K,4,04/30/2024,05/10/2024,SAHA_HE_STO_A1_EC03,N/A,3,0.00075,120 min at 4°C,17.45,NO,C,A,MAN-10184-02,MAN-10161-05,Software version 1.3
52,SAHA_CR_LN_A1_EC03,Y,EC03,Lymph Node,Normal,LN,LN_A1,WCM,CosMx RNA,UCC 1K,4,04/30/2024,05/10/2024,SAHA_HE_LN_A1_EC03,N/A,3,0.00075,120 min at 4°C,17.45,NO,C,A,MAN-10184-02,MAN-10161-05,Software version 1.3
53,SAHA_CR_IBD_A1_EC04,,EC04,Ileum,Disease,ILE,IBD_A1,WCM,CosMx RNA,6K Discovery,3,07/25/2024,08/15/2024,SAHA_HE_IBD_A1_EC04,N/A,2,0.0005,15 min at RT,18,YES,C,A,MAN-10184-03,MAN-10161-05,Software version 1.3
54,SAHA_CR_IBD_A1_EC04,,EC04,Ileum,Disease,ILE,IBD_A2,WCM,CosMx RNA,6K Discovery,3,07/25/2024,08/15/2024,SAHA_HE_IBD_A2_EC04,N/A,2,0.0005,15 min at RT,18,YES,C,A,MAN-10184-03,MAN-10161-05,Software version 1.3
55,SAHA_CP_COL_A1_TAP01,,TAP01,Colon,Normal,COL,COL_A1,TAP,CosMx Protein,IO Protein (64-plex),6,12/06/2022,12/13/2022,SAHA_HE_COL_A1_TAP01,N/A,7,,,,,,,,,
56,SAHA_CP_LIV_A1_TAP01,,TAP01,Liver,Normal,LIV,LIV_A1,TAP,CosMx Protein,IO Protein (64-plex),6,12/06/2022,12/13/2022,SAHA_HE_LIV_A1_TAP01,N/A,7,,,,,,,,,
57,SAHA_CP_LIV_A2_TAP01,,TAP01,Liver,Normal,LIV,LIV_A2,TAP,CosMx Protein,IO Protein (64-plex),6,12/06/2022,12/13/2022,SAHA_HE_LIV_A2_TAP01,N/A,7,,,,,,,,,
58,SAHA_CP_PROS_A1_TAP01,,TAP01,Prostate,Normal,PROS,PROS_A1,TAP,CosMx Protein,IO Protein (64-plex),6,12/06/2022,12/13/2022,SAHA_HE_PROS_A1_TAP01,N/A,7,,,,,,,,,
59,SAHA_CP_BM_I18_TAP03,,TAP03,Bone Marrow,Normal,BM,I18-4753_B1,TAP,CosMx Protein,IO Protein (64-plex),6,06/23/2023,09/10/2023,N/A,N/A,4,,,,,,,,,
60,SAHA_CP_BM_I17_TAP03,,TAP03,Bone Marrow,Normal,BM,I17-1673_B1,TAP,CosMx Protein,IO Protein (64-plex),6,06/23/2023,09/10/2023,N/A,N/A,4,,,,,,,,,
